,GIG(0) (B + W),GIG(20) (B + W),IG (Black + White),Grad-CAM,RISE
82,0.5104722319167598,0.32211104104175725,0.6333858475522397,0.3018089028780297,0.21462851077732112
83,0.010217206124515441,0.010194336100074806,0.010604924819244844,0.014615747089222472,0.025413578531394403
84,0.011682163216735514,0.011358302052020817,0.03719533615338959,0.055184940274274494,0.3175665635285744
85,0.01084693589804778,0.00675479383013832,0.007801342964133558,0.013327709664978708,0.007084482622142079
86,0.8216937712493948,0.5538948140142667,0.6856567869787492,0.2771105193471562,0.4831095847637496
87,0.5032505682177443,0.11515389359252974,0.4414275888287901,0.11487449259309668,0.10720458411168592
88,0.2597791479708879,0.0779404983504921,0.3531335543893672,0.15999760839096983,0.35103787596775266
89,0.3303273535773365,0.2440636529723027,0.4241919477942348,0.16629242281929793,0.17744166228464262
90,0.013197950973214271,0.014560951296920798,0.07056740994036469,0.34927785880475615,0.17414859029716656
91,0.01415099595906213,0.013327310327763877,0.025814391755799686,0.03382449932832969,0.034971722931610806
92,0.4554220271280226,0.03512808678038305,0.2991706884768872,0.09485471085483571,0.12237400727883344
93,0.03055123246805225,0.02013031919656593,0.10017398863336287,0.03094738610881096,0.05637871489333419
94,0.8180968920790798,0.29593330487095953,0.44289686185252825,0.02668566345859694,0.013182371774966365
95,0.011012775973277813,0.01137415044633801,0.10615371666469096,0.1016395363484561,0.06778661881934467
96,0.019930438781739213,0.0629317403399101,0.07094311964077255,0.10848287779905756,0.05386229995686639
